ID,team
1,England
2,Pakistan
3,Australia
4,New Zealand
5,Sri Lanka
6,South Africa
7,West Indies
8,India
9,Kenya
10,Bangladesh
11,Scotland
12,Zimbabwe
13,Ireland
14,Netherlands
15,Bermuda
16,Afghanistan
17,Canada
18,United Arab Emirates
19,Hong Kong
20,Nepal
21,Papua New Guinea
22,Oman
23,Denmark
24,Germany
25,Maldives
26,Thailand
27,Italy
28,Guernsey
29,Malaysia
30,Norway
31,Jersey
32,Ghana
33,Namibia
34,Singapore
35,Qatar
36,Kuwait
37,United States of America
38,Cayman Islands
39,Botswana
40,Nigeria
41,Uganda
42,Vanuatu
43,Portugal
44,Spain
45,Gibraltar
46,Bhutan
47,Philippines
48,Bahrain
49,Saudi Arabia
50,Iran
51,Belgium
52,Czech Republic
53,Luxembourg
54,Isle of Man
55,Bulgaria
56,Romania
